"","hexid","variable","est","totpop","share","acc60","cum_pop","cum_acc"
"90",12436,"B03002_004",0,56.2314732917488,0,0,0,0
"91",12437,"B03002_004",0,56.2314732917582,0,0,0,0
"92",12438,"B03002_004",0,56.2314732917629,0,0,0,0
"93",12439,"B03002_004",0,56.2314732917535,0,0,0,0
"94",12440,"B03002_004",0,56.2314732917488,0,0,0,0
"95",12494,"B03002_004",0,21.6764664363268,0,0,0,0
"96",12495,"B03002_004",0,557.259381945643,0,0,0,0
"97",12496,"B03002_004",0,961.605572729156,0,0,0,0
"98",12513,"B03002_004",0,21.9393665165786,0,0,0,0
"99",12514,"B03002_004",0,21.9393665165731,0,0,0,0
"100",12515,"B03002_004",0,21.9393665165805,0,0,0,0
"101",12516,"B03002_004",0,21.939366516575,0,0,0,0
"102",12517,"B03002_004",0,13.2841810182807,0,0,0,0
"103",12535,"B03002_004",0,0.144846379974078,0,0,0,0
"104",12536,"B03002_004",0,28.9038855626691,0,0,0,0
"105",12537,"B03002_004",0,40.9882800314533,0,0,0,0
"106",12538,"B03002_004",0,27.7633575746473,0,0,0,0
"107",12539,"B03002_004",0,39.9658797033122,0,0,0,0
"108",12540,"B03002_004",0,56.2314732917488,0,0,0,0
"109",12541,"B03002_004",0,56.2314732917488,0,0,0,0
"110",12542,"B03002_004",0,56.2314732917582,0,0,0,0
"111",12593,"B03002_004",0,331.271689575711,0,0,0,0
"112",12611,"B03002_004",0,21.939366516575,0,0,0,0
"113",12612,"B03002_004",0,21.9393665165786,0,0,0,0
"114",12613,"B03002_004",0,21.9393665165786,0,0,0,0
"115",12614,"B03002_004",0,17.6870036774763,0,0,0,0
"116",12630,"B03002_004",0,8.04723416554869,0,0,0,0
"117",12631,"B03002_004",0,35.5271197372142,0,0,0,0
"118",12632,"B03002_004",0,55.8128901467887,0,0,0,0
"119",12633,"B03002_004",0,55.911165955072,0,0,0,0
"120",12699,"B03002_004",0,21.9393665165731,0,0,0,0
"121",12700,"B03002_004",0,21.9393665165805,0,0,0,0
"122",12701,"B03002_004",0,21.0921693510471,0,0,0,0
