"GEOID","X","Y"
"81",-95.1549536891304,29.5322543316167
"82",-95.1483373265258,29.5320638662186
"83",-95.1417209885852,29.5318730734704
"84",-95.1351046753509,29.531681953374
"85",-95.1284883868651,29.531490505931
"98",-95.1580735785798,29.5373603839711
"99",-95.1514568798283,29.537170073126
"100",-95.1448402057234,29.5369794349142
"101",-95.1382235563072,29.5367884693374
"102",-95.131606931622,29.5365971763976
"103",-95.1249903317101,29.5364055560965
"104",-95.1183737566135,29.5362136084358
"117",-95.1611937795755,29.5424663580089
"118",-95.1545767446523,29.5422762017335
"119",-95.1479597343583,29.5420857180748
"120",-95.1413427487355,29.5418949070345
"121",-95.1347257878262,29.5417037686146
"122",-95.1281088516726,29.5415123028167
"123",-95.1214919403171,29.5413205096427
"124",-95.1148750538017,29.5411283890944
"125",-95.1082581921687,29.5409359411735
"126",-95.1016413554604,29.540743165882
"127",-95.095024543719,29.5405500632216
"128",-95.0884077569866,29.5403566331941
"136",-95.15769692104,29.5473822519896
"137",-95.1510795745321,29.5471919229007
"138",-95.1444622526779,29.5470012664137
"139",-95.1378449555198,29.5468102825304
"140",-95.1312276831,29.5466189712525
"141",-95.1246104354606,29.5464273325819
"142",-95.117993212644,29.5462353665204
"143",-95.1113760146923,29.5460430730697
"144",-95.1047588416478,29.5458504522317
"145",-95.0981416935527,29.5456575040082
"146",-95.0915245704493,29.545464228401
"147",-95.0849074723798,29.5452706254119
"148",-95.079373311579,29.5457460868794
"162",-95.1541997262871,29.5522980493406
"163",-95.1475820681768,29.5521075474235
"164",-95.1409644347451,29.5519167180935
"165",-95.1343468260342,29.5517255613524
"166",-95.1277292420863,29.5515340772019
"167",-95.1211116829436,29.5513422656439
"168",-95.1144941486485,29.5511501266801
"169",-95.1078766392431,29.5509576603124
"170",-95.1012591547696,29.5507648665426
"171",-95.0946416952703,29.5505717453724
"172",-95.0880242607875,29.5503782968037
"173",-95.0814068513633,29.5501845208384
"195",-95.1440842255444,29.5570230752525
"196",-95.1374662805176,29.5568320730648
"197",-95.1308483602364,29.5566407434512
"198",-95.124230464743,29.5564490864134
"199",-95.1176125940796,29.5562571019533
"200",-95.1109947482884,29.5560647900726
"201",-95.1043769274118,29.5558721507732
"202",-95.0977591314919,29.5556791840568
"203",-95.091141360571,29.5554858899254
"204",-95.0845236146913,29.5552922683806
"205",-95.0779058938951,29.5550983194243
"219",-95.2067699660564,29.5638322473023
"220",-95.2001121180514,29.5638615384923
"230",-95.1339677899532,29.5617473312783
"231",-95.1273495580842,29.5615558287775
"232",-95.1207313510277,29.5613639988378
"233",-95.1141131688261,29.5611718414609
"234",-95.1074950115215,29.5609793566486
"235",-95.1008768791562,29.5607865444028
"236",-95.0942587717724,29.5605934047252
"237",-95.0876406894124,29.5603999376177
"238",-95.0810226321185,29.5602061430821
"255",-95.2165122691439,29.5691244738096
"256",-95.20989340663,29.5689370554689
"257",-95.203274568404,29.5687493096512
"258",-95.1966557545082,29.5685612363584
"269",-95.1238504195353,29.566470817282
"270",-95.1172319008983,29.5662788144256
"271",-95.110613407141,29.5660864841172
"272",-95.1039949383055,29.5658938263586
"273",-95.0973764944341,29.5657008411517
"274",-95.090758075569,29.5655075284983
"298",-95.2196363578554,29.5742290484974
"299",-95.2130171591268,29.5740417849263
"300",-95.2063979846685,29.5738541938617
"301",-95.1997788345229,29.5736662753053
